num_of_player,num_of_decks,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
2,3,9,19,0,17,0,-1.0,1
2,3,7,17,0,19,0,1.0,0
2,3,6,17,0,17,0,0.0,0
2,3,6,17,0,13,0,-1.0,1
2,3,J,17,0,15,0,-1.0,1
2,3,Q,17,0,14,0,-1.0,1
2,3,J,22,1,16,0,1.0,0
2,3,3,26,1,6,1,1.0,1
2,3,J,20,0,13,0,-1.0,1
2,3,9,18,0,19,0,1.0,0
2,3,K,20,0,14,0,-1.0,1
2,3,10,17,0,17,0,0.0,0
2,3,Q,21,0,12,0,-1.0,1
2,3,3,18,0,20,0,1.0,0
2,3,J,20,0,10,0,-1.0,1
2,3,8,23,1,14,0,1.0,0
2,3,J,21,0,18,0,-1.0,1
2,3,7,21,0,15,0,-1.0,1
2,3,2,22,1,19,0,1.0,0
2,3,7,18,0,17,0,-1.0,1
2,3,4,21,0,14,0,-1.0,1
2,3,6,25,1,13,0,1.0,0
2,3,A,21,0,13,0,-1.0,1
2,3,7,17,0,14,0,-1.0,1
2,3,6,23,1,14,0,1.0,0
2,3,K,20,0,11,1,-1.0,0
2,3,7,18,0,12,0,-1.0,1
2,3,8,18,0,13,0,-1.0,1
2,3,8,17,0,12,0,-1.0,1
2,3,2,19,0,14,0,-1.0,1
2,3,K,20,0,16,0,-1.0,1
2,3,10,17,0,17,0,0.0,0
2,3,4,18,0,16,0,-1.0,1
2,3,5,17,0,12,0,-1.0,1
2,3,4,21,0,16,0,-1.0,1
2,3,5,21,0,20,0,-1.0,1
2,3,10,20,0,12,0,-1.0,1
2,3,6,25,1,19,0,1.0,0
2,3,3,23,1,19,0,1.0,0
2,3,5,23,1,10,1,1.0,1
2,3,2,18,0,18,0,0.0,0
2,3,5,22,1,20,0,1.0,0
2,3,9,19,0,14,0,-1.0,1
2,3,4,20,0,10,1,-1.0,0
2,3,5,25,1,11,1,1.0,1
2,3,2,17,0,6,0,-1.0,1
2,3,7,23,1,13,0,1.0,0
2,3,3,18,0,10,0,-1.0,1
2,3,A,25,1,12,0,1.0,0
2,3,J,20,0,12,0,-1.0,1
2,3,8,18,0,13,0,-1.0,1
2,3,9,19,0,15,0,-1.0,1
2,3,5,25,1,11,1,1.0,1
2,3,4,22,1,14,0,1.0,0
2,3,2,18,0,21,0,1.0,0
2,3,Q,23,1,18,0,1.0,0
2,3,3,20,0,13,0,-1.0,1
2,3,2,22,1,20,0,1.0,0
2,3,3,19,0,14,0,-1.0,1
2,3,A,20,0,14,0,-1.0,1
2,3,K,20,0,10,0,-1.0,1
2,3,K,20,0,9,0,-1.0,1
2,3,2,18,0,17,0,-1.0,1
2,3,K,20,0,18,0,-1.0,1
2,3,7,23,1,20,0,1.0,0
2,3,J,19,0,18,0,-1.0,1
2,3,Q,25,1,18,0,1.0,0
2,3,3,18,0,19,0,1.0,0
2,3,A,21,0,16,0,-1.0,1
2,3,7,23,1,13,0,1.0,0
2,3,2,22,1,14,0,1.0,0
