,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
170,K,22,1,12,0,1.0,0
171,8,18,0,20,0,1.0,0
172,9,23,1,14,0,1.0,0
173,2,17,0,18,0,1.0,0
174,J,21,0,16,0,-1.0,1
175,A,24,1,13,0,1.0,0
176,7,17,0,12,0,-1.0,1
177,3,19,0,17,0,-1.0,1
178,7,21,0,12,0,-1.0,1
179,5,23,1,12,0,1.0,0
180,5,21,0,15,0,-1.0,1
181,8,23,1,12,0,1.0,0
182,10,17,0,17,0,0.0,0
183,9,17,0,14,0,-1.0,1
184,2,18,0,20,0,1.0,0
185,4,25,1,16,0,1.0,0
186,2,17,0,14,0,-1.0,1
187,9,20,0,19,0,-1.0,1
188,A,17,0,13,0,-1.0,1
189,8,18,0,8,1,0.0,1
190,2,19,0,13,0,-1.0,1
191,K,17,0,11,1,1.0,1
192,5,20,0,20,0,0.0,0
193,6,18,0,15,0,-1.0,1
194,5,18,0,21,0,1.0,0
195,7,17,0,9,1,-1.0,0
196,3,21,0,13,0,-1.0,1
197,A,18,0,18,0,0.0,0
198,2,21,0,11,0,-1.0,1
199,K,23,1,17,0,1.0,0
200,7,17,0,15,0,-1.0,1
201,10,20,0,8,1,-1.0,0
202,9,18,0,18,0,0.0,0
203,8,20,0,20,0,0.0,0
204,8,19,0,13,0,-1.0,1
205,J,17,0,14,0,-1.0,1
206,4,24,1,15,0,1.0,0
207,5,25,1,12,0,1.0,0
208,J,18,0,16,0,-1.0,1
209,2,20,0,13,0,-1.0,1
210,J,21,0,17,0,-1.0,1
211,J,18,0,11,0,-1.0,1
212,K,20,0,15,0,-1.0,1
213,6,24,1,20,0,1.0,0
214,J,21,0,20,0,-1.0,1
215,8,18,0,12,0,-1.0,1
216,J,20,0,12,0,-1.0,1
217,Q,22,1,16,0,1.0,0
218,7,24,1,16,0,1.0,0
219,6,21,0,13,0,-1.0,1
220,Q,26,1,19,0,1.0,0
221,5,26,1,16,0,1.0,0
222,J,18,0,12,0,-1.0,1
223,4,20,0,15,0,-1.0,1
224,3,23,1,17,0,1.0,0
225,Q,20,0,21,0,1.0,0
226,K,20,0,17,0,-1.0,1
227,8,24,1,13,0,1.0,0
228,3,25,1,20,0,1.0,0
229,J,21,0,14,0,-1.0,1
230,J,18,0,14,0,-1.0,1
231,5,25,1,16,0,1.0,0
232,2,22,1,17,0,1.0,0
233,J,24,1,21,0,1.0,0
234,4,25,1,11,1,1.0,1
235,J,20,0,15,0,-1.0,1
236,4,26,1,18,0,1.0,0
