,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
19620,2,23,1,12,0,1.0,0
19621,8,24,1,14,0,1.0,0
19622,7,17,0,20,0,1.0,0
19623,2,20,0,14,0,-1.0,1
19624,10,20,0,9,0,-1.0,1
19625,A,26,1,20,0,1.0,0
19626,8,18,0,15,0,-1.0,1
19627,2,20,0,15,0,-1.0,1
19628,4,19,0,13,0,-1.0,1
19629,2,23,1,13,0,1.0,0
19630,Q,22,1,12,0,1.0,0
19631,9,20,0,12,0,-1.0,1
19632,Q,22,1,15,0,1.0,0
19633,A,19,0,15,0,-1.0,1
19634,9,19,0,20,0,1.0,0
19635,4,23,1,20,0,1.0,0
19636,2,23,1,18,0,1.0,0
19637,4,24,1,5,1,1.0,1
19638,7,17,0,8,1,0.0,1
19639,4,21,0,12,0,-1.0,1
19640,Q,20,0,13,0,-1.0,1
19641,7,18,0,20,0,1.0,0
19642,6,26,1,20,0,1.0,0
19643,3,23,1,20,0,1.0,0
19644,A,24,1,9,1,1.0,1
19645,A,18,0,13,0,-1.0,1
19646,J,20,0,7,0,-1.0,1
19647,A,18,0,14,0,-1.0,1
19648,8,18,0,20,0,1.0,0
19649,4,22,1,20,0,1.0,0
19650,K,20,0,18,0,-1.0,1
19651,10,20,0,10,0,-1.0,1
19652,6,23,1,19,0,1.0,0
19653,J,20,0,8,1,-1.0,0
19654,7,22,1,10,0,1.0,0
19655,A,22,1,15,0,1.0,0
19656,A,21,0,15,0,-1.0,1
19657,2,18,0,14,0,-1.0,1
19658,8,17,0,15,0,-1.0,1
19659,6,20,0,6,1,-1.0,0
19660,Q,24,1,19,0,1.0,0
19661,8,17,0,12,0,-1.0,1
19662,7,25,1,15,0,1.0,0
19663,7,19,0,16,0,-1.0,1
19664,2,21,0,14,0,-1.0,1
19665,3,19,0,15,0,-1.0,1
19666,8,18,0,16,0,-1.0,1
19667,9,23,1,13,0,1.0,0
19668,Q,19,0,21,0,1.0,0
19669,7,25,1,14,0,1.0,0
19670,Q,22,1,20,0,1.0,0
19671,7,18,0,13,0,-1.0,1
19672,7,22,1,9,1,1.0,1
19673,A,17,0,17,0,0.0,0
19674,6,17,0,9,1,1.0,1
19675,7,19,0,15,0,-1.0,1
19676,Q,20,0,19,0,-1.0,1
19677,9,19,0,17,0,-1.0,1
19678,J,25,1,18,0,1.0,0
19679,4,20,0,12,0,-1.0,1
19680,Q,23,1,10,1,1.0,1
19681,J,20,0,15,0,-1.0,1
19682,K,25,1,13,0,1.0,0
19683,10,20,0,14,0,-1.0,1
19684,10,17,0,9,0,-1.0,1
19685,4,20,0,19,0,-1.0,1
19686,A,22,1,9,0,1.0,0
19687,7,18,0,21,0,1.0,0
19688,9,17,0,14,0,-1.0,1
19689,7,17,0,19,0,1.0,0
19690,10,20,0,21,0,1.0,0
19691,Q,21,0,8,0,-1.0,1
19692,6,17,0,11,0,-1.0,1
19693,10,20,0,17,0,-1.0,1
19694,10,20,0,17,0,-1.0,1
19695,K,20,0,17,0,-1.0,1
19696,6,17,0,14,0,-1.0,1
19697,9,18,0,10,0,-1.0,1
19698,8,18,0,17,0,-1.0,1
19699,6,20,0,13,0,-1.0,1
19700,J,20,0,8,1,-1.0,0
19701,J,21,0,20,0,-1.0,1
19702,3,22,1,13,0,1.0,0
19703,2,26,1,11,0,1.0,0
19704,3,17,0,19,0,1.0,0
19705,10,21,0,19,0,-1.0,1
19706,J,20,0,17,0,-1.0,1
19707,5,19,0,8,1,-1.0,0
19708,10,21,0,21,0,0.0,0
19709,K,20,0,13,0,-1.0,1
19710,J,21,0,8,0,-1.0,1
19711,10,20,0,17,0,-1.0,1
19712,9,17,0,14,0,-1.0,1
19713,9,19,0,19,0,0.0,0
19714,5,24,1,17,0,1.0,0
19715,8,18,0,11,0,-1.0,1
19716,6,19,0,13,0,-1.0,1
19717,5,19,0,13,0,-1.0,1
19718,9,19,0,20,0,1.0,0
19719,6,21,0,20,0,-1.0,1
19720,5,25,1,17,0,1.0,0
19721,3,20,0,16,0,-1.0,1
19722,A,17,0,14,0,-1.0,1
19723,5,25,1,20,0,1.0,0
19724,5,21,0,17,0,-1.0,1
19725,Q,21,0,15,0,-1.0,1
19726,3,17,0,16,0,-1.0,1
19727,9,19,0,9,1,0.0,1
19728,9,19,0,13,0,-1.0,1
19729,7,17,0,12,0,-1.0,1
19730,6,26,1,15,0,1.0,0
19731,3,19,0,21,0,1.0,0
19732,3,21,0,17,0,-1.0,1
19733,A,21,0,13,0,-1.0,1
19734,4,23,1,15,0,1.0,0
19735,4,23,1,16,0,1.0,0
19736,Q,24,1,13,0,1.0,0
19737,4,20,0,15,0,-1.0,1
19738,K,24,1,12,0,1.0,0
19739,6,23,1,16,0,1.0,0
19740,Q,21,0,20,0,-1.0,1
19741,7,17,0,14,0,-1.0,1
19742,10,17,0,4,1,-1.0,0
19743,J,22,1,13,0,1.0,0
19744,8,18,0,17,0,-1.0,1
19745,K,17,0,14,0,-1.0,1
19746,A,17,0,13,0,-1.0,1
19747,9,19,0,14,0,-1.0,1
19748,10,24,1,19,0,1.0,0
19749,8,21,0,12,0,-1.0,1
19750,K,23,1,12,0,1.0,0
19751,5,20,0,21,0,1.0,0
19752,3,18,0,15,0,-1.0,1
19753,K,24,1,18,0,1.0,0
19754,J,21,0,13,0,-1.0,1
19755,9,17,0,13,0,-1.0,1
19756,9,22,1,15,0,1.0,0
19757,A,21,0,13,0,-1.0,1
19758,3,22,1,13,0,1.0,0
19759,9,19,0,20,0,1.0,0
19760,7,17,0,12,0,-1.0,1
19761,K,22,1,20,0,1.0,0
19762,3,19,0,9,1,-1.0,0
19763,6,22,1,5,0,1.0,0
19764,2,23,1,19,0,1.0,0
19765,K,20,0,21,0,1.0,0
19766,7,17,0,20,0,1.0,0
19767,9,19,0,8,0,-1.0,1
19768,8,19,0,9,0,-1.0,1
19769,9,19,0,13,0,-1.0,1
19770,7,20,0,17,0,-1.0,1
19771,5,23,1,20,0,1.0,0
19772,10,20,0,20,0,0.0,0
19773,8,17,0,15,0,-1.0,1
19774,A,19,0,16,0,-1.0,1
19775,K,20,0,17,0,-1.0,1
19776,2,17,0,20,0,1.0,0
19777,8,18,0,11,1,1.0,1
19778,9,18,0,21,0,1.0,0
19779,K,19,0,14,0,-1.0,1
19780,2,22,1,12,0,1.0,0
19781,10,17,0,14,0,-1.0,1
19782,4,24,1,12,0,1.0,0
19783,Q,26,1,11,1,1.0,1
19784,10,17,0,11,0,-1.0,1
19785,10,17,0,14,0,-1.0,1
19786,K,18,0,16,0,-1.0,1
19787,7,23,1,19,0,1.0,0
19788,Q,19,0,21,0,1.0,0
19789,A,17,0,21,0,1.0,0
19790,6,26,1,12,0,1.0,0
19791,K,17,0,14,0,-1.0,1
19792,9,20,0,18,0,-1.0,1
19793,K,20,0,19,0,-1.0,1
19794,A,19,0,21,0,1.0,0
19795,9,17,0,12,0,-1.0,1
19796,9,19,0,14,0,-1.0,1
19797,J,23,1,21,0,1.0,0
19798,2,21,0,11,1,-1.0,0
19799,4,19,0,17,0,-1.0,1
19800,8,19,0,7,0,-1.0,1
19801,Q,20,0,19,0,-1.0,1
19802,Q,22,1,18,0,1.0,0
19803,K,20,0,14,0,-1.0,1
19804,8,23,1,21,0,1.0,0
19805,5,19,0,20,0,1.0,0
19806,5,19,0,19,0,0.0,0
19807,A,18,0,12,0,-1.0,1
19808,5,22,1,19,0,1.0,0
19809,7,17,0,10,1,-1.0,0
19810,5,18,0,14,0,-1.0,1
19811,J,21,0,8,0,-1.0,1
19812,2,17,0,14,0,-1.0,1
19813,2,24,1,20,0,1.0,0
19814,9,17,0,17,0,0.0,0
19815,K,17,0,9,0,-1.0,1
19816,A,21,0,10,0,-1.0,1
19817,J,25,1,7,0,1.0,0
19818,K,26,1,18,0,1.0,0
19819,8,18,0,18,0,0.0,0
19820,10,20,0,19,0,-1.0,1
19821,6,20,0,20,0,0.0,0
19822,7,18,0,11,1,1.0,1
19823,6,26,1,20,0,1.0,0
19824,4,20,0,12,0,-1.0,1
19825,6,26,1,20,0,1.0,0
19826,K,18,0,18,0,0.0,0
19827,10,19,0,12,0,-1.0,1
19828,8,25,1,20,0,1.0,0
19829,8,25,1,15,0,1.0,0
19830,3,25,1,14,0,1.0,0
19831,8,18,0,12,0,-1.0,1
19832,2,21,0,13,0,-1.0,1
19833,5,22,1,21,0,1.0,0
19834,8,18,0,15,0,-1.0,1
19835,8,18,0,13,0,-1.0,1
19836,5,18,0,13,0,-1.0,1
19837,2,19,0,20,0,1.0,0
19838,5,24,1,17,0,1.0,0
19839,A,18,0,18,0,0.0,0
19840,2,18,0,16,0,-1.0,1
19841,Q,17,0,12,0,-1.0,1
19842,Q,24,1,16,0,1.0,0
19843,A,21,0,15,0,-1.0,1
19844,7,17,0,17,0,0.0,0
19845,6,20,0,15,0,-1.0,1
19846,A,18,0,14,0,-1.0,1
19847,6,17,0,19,0,1.0,0
19848,7,19,0,21,0,1.0,0
19849,5,19,0,7,1,-1.0,0
19850,6,21,0,20,0,-1.0,1
19851,K,26,1,14,0,1.0,0
19852,Q,19,0,16,0,-1.0,1
19853,J,17,0,17,0,0.0,0
19854,8,17,0,15,0,-1.0,1
19855,A,25,1,14,0,1.0,0
19856,9,19,0,7,1,-1.0,0
19857,9,19,0,10,1,-1.0,0
19858,3,22,1,14,0,1.0,0
19859,9,19,0,12,0,-1.0,1
19860,10,20,0,4,0,-1.0,1
19861,A,19,0,17,0,-1.0,1
19862,J,20,0,21,0,1.0,0
19863,8,18,0,16,0,-1.0,1
19864,2,18,0,15,0,-1.0,1
19865,10,19,0,11,0,-1.0,1
19866,2,18,0,17,0,-1.0,1
19867,A,19,0,16,0,-1.0,1
19868,9,18,0,12,0,-1.0,1
19869,Q,24,1,8,0,1.0,0
19870,6,19,0,19,0,0.0,0
19871,10,20,0,16,0,-1.0,1
19872,5,23,1,15,0,1.0,0
19873,10,26,1,14,0,1.0,0
19874,3,19,0,15,0,-1.0,1
19875,7,22,1,11,1,1.0,1
19876,7,17,0,12,0,-1.0,1
19877,3,20,0,16,0,-1.0,1
19878,Q,24,1,7,0,1.0,0
19879,A,18,0,17,0,-1.0,1
19880,9,19,0,15,0,-1.0,1
19881,5,24,1,20,0,1.0,0
19882,J,18,0,18,0,0.0,0
19883,8,24,1,18,0,1.0,0
19884,10,18,0,15,0,-1.0,1
19885,K,17,0,10,0,-1.0,1
19886,Q,19,0,14,0,-1.0,1
19887,10,17,0,19,0,1.0,0
19888,4,23,1,20,0,1.0,0
19889,3,22,1,12,0,1.0,0
19890,Q,25,1,6,0,1.0,0
19891,K,21,0,13,0,-1.0,1
19892,4,18,0,14,0,-1.0,1
19893,9,20,0,16,0,-1.0,1
19894,8,19,0,10,0,-1.0,1
19895,7,17,0,17,0,0.0,0
19896,J,21,0,13,0,-1.0,1
19897,A,21,0,8,0,-1.0,1
19898,8,18,0,8,0,-1.0,1
19899,3,21,0,14,0,-1.0,1
19900,A,21,0,20,0,-1.0,1
19901,6,25,1,6,1,1.0,1
19902,Q,20,0,12,0,-1.0,1
19903,Q,20,0,16,0,-1.0,1
19904,5,22,1,20,0,1.0,0
19905,Q,20,0,7,0,-1.0,1
19906,J,19,0,17,0,-1.0,1
19907,4,18,0,7,0,-1.0,1
19908,10,23,1,9,0,1.0,0
19909,8,18,0,13,0,-1.0,1
19910,K,20,0,7,0,-1.0,1
19911,6,19,0,17,0,-1.0,1
19912,2,20,0,17,0,-1.0,1
19913,5,25,1,19,0,1.0,0
19914,A,17,0,14,0,-1.0,1
19915,4,25,1,19,0,1.0,0
19916,A,19,0,14,0,-1.0,1
19917,4,25,1,13,0,1.0,0
19918,3,21,0,20,0,-1.0,1
19919,8,20,0,15,0,-1.0,1
19920,4,18,0,17,0,-1.0,1
19921,3,24,1,16,0,1.0,0
19922,6,18,0,15,0,-1.0,1
19923,K,22,1,18,0,1.0,0
19924,9,19,0,11,1,-1.0,0
19925,2,19,0,20,0,1.0,0
19926,K,20,0,13,0,-1.0,1
19927,5,23,1,14,0,1.0,0
19928,A,21,0,13,0,-1.0,1
19929,A,17,0,16,0,-1.0,1
19930,10,18,0,11,1,-1.0,0
19931,J,18,0,18,0,0.0,0
19932,10,20,0,21,0,1.0,0
19933,J,20,0,17,0,-1.0,1
19934,K,18,0,13,0,-1.0,1
19935,J,20,0,9,1,-1.0,0
19936,7,17,0,19,0,1.0,0
19937,2,26,1,13,0,1.0,0
19938,9,22,1,20,0,1.0,0
19939,4,17,0,21,0,1.0,0
19940,8,26,1,16,0,1.0,0
19941,10,20,0,14,0,-1.0,1
19942,A,18,0,6,0,-1.0,1
19943,K,20,0,14,0,-1.0,1
19944,J,21,0,12,0,-1.0,1
19945,2,22,1,9,1,1.0,1
19946,J,20,0,20,0,0.0,0
19947,5,20,0,18,0,-1.0,1
19948,10,20,0,7,0,-1.0,1
19949,3,19,0,9,0,-1.0,1
19950,J,19,0,13,0,-1.0,1
19951,5,26,1,9,1,1.0,1
19952,4,20,0,12,0,-1.0,1
19953,8,19,0,15,0,-1.0,1
19954,6,22,1,14,0,1.0,0
19955,3,22,1,18,0,1.0,0
19956,A,21,0,20,0,-1.0,1
19957,Q,20,0,14,0,-1.0,1
19958,2,22,1,16,0,1.0,0
19959,3,23,1,9,1,1.0,1
19960,8,23,1,20,0,1.0,0
19961,5,17,0,17,0,0.0,0
19962,2,18,0,15,0,-1.0,1
19963,7,18,0,16,0,-1.0,1
19964,4,25,1,9,0,1.0,0
19965,A,24,1,14,0,1.0,0
19966,7,22,1,20,0,1.0,0
19967,J,20,0,20,0,0.0,0
19968,9,19,0,16,0,-1.0,1
19969,10,20,0,14,0,-1.0,1
19970,6,21,0,13,0,-1.0,1
19971,5,20,0,12,0,-1.0,1
19972,5,20,0,14,0,-1.0,1
19973,J,20,0,12,0,-1.0,1
19974,6,17,0,19,0,1.0,0
19975,3,21,0,11,0,-1.0,1
19976,10,18,0,19,0,1.0,0
19977,9,19,0,13,0,-1.0,1
19978,2,17,0,17,0,0.0,0
19979,5,25,1,8,0,1.0,0
19980,K,17,0,15,0,-1.0,1
19981,10,20,0,13,0,-1.0,1
19982,4,23,1,12,0,1.0,0
19983,A,18,0,17,0,-1.0,1
19984,7,22,1,20,0,1.0,0
19985,7,18,0,17,0,-1.0,1
19986,6,18,0,15,0,-1.0,1
19987,6,23,1,9,1,1.0,1
19988,J,25,1,21,0,1.0,0
19989,A,20,0,15,0,-1.0,1
19990,3,21,0,13,0,-1.0,1
19991,J,17,0,20,0,1.0,0
19992,K,18,0,11,0,-1.0,1
19993,2,20,0,14,0,-1.0,1
19994,Q,18,0,15,0,-1.0,1
19995,J,19,0,10,0,-1.0,1
19996,A,19,0,20,0,1.0,0
19997,J,23,1,16,0,1.0,0
19998,5,20,0,18,0,-1.0,1
19999,A,17,0,12,0,-1.0,1
20000,5,18,0,17,0,-1.0,1
20001,5,26,1,14,0,1.0,0
20002,8,26,1,12,0,1.0,0
20003,4,24,1,11,1,1.0,1
20004,7,26,1,16,0,1.0,0
20005,10,18,0,14,0,-1.0,1
20006,8,24,1,8,0,1.0,0
20007,J,19,0,20,0,1.0,0
20008,K,20,0,15,0,-1.0,1
20009,3,25,1,21,0,1.0,0
20010,7,25,1,13,0,1.0,0
20011,A,19,0,15,0,-1.0,1
20012,2,20,0,20,0,0.0,0
20013,2,25,1,14,0,1.0,0
20014,7,18,0,15,0,-1.0,1
20015,9,19,0,12,0,-1.0,1
20016,8,18,0,10,1,1.0,1
20017,9,23,1,13,0,1.0,0
20018,J,20,0,19,0,-1.0,1
20019,Q,17,0,15,0,-1.0,1
20020,A,18,0,15,0,-1.0,1
20021,7,18,0,5,0,-1.0,1
20022,8,17,0,15,0,-1.0,1
20023,7,21,0,21,0,0.0,0
20024,2,17,0,17,0,0.0,0
20025,9,19,0,17,0,-1.0,1
20026,Q,20,0,14,0,-1.0,1
20027,J,18,0,17,0,-1.0,1
20028,2,19,0,15,0,-1.0,1
20029,6,24,1,14,0,1.0,0
20030,3,21,0,20,0,-1.0,1
20031,K,21,0,16,0,-1.0,1
20032,10,20,0,19,0,-1.0,1
20033,7,17,0,20,0,1.0,0
20034,4,18,0,20,0,1.0,0
20035,7,26,1,19,0,1.0,0
20036,5,19,0,13,0,-1.0,1
20037,10,21,0,13,0,-1.0,1
20038,7,17,0,13,0,-1.0,1
20039,K,20,0,20,0,0.0,0
20040,10,20,0,18,0,-1.0,1
20041,9,22,1,16,0,1.0,0
20042,K,19,0,16,0,-1.0,1
20043,8,18,0,15,0,-1.0,1
20044,2,17,0,10,0,-1.0,1
20045,2,17,0,17,0,0.0,0
20046,10,18,0,20,0,1.0,0
20047,9,17,0,20,0,1.0,0
20048,A,21,0,4,0,-1.0,1
20049,A,19,0,17,0,-1.0,1
20050,9,19,0,10,0,-1.0,1
20051,4,22,1,16,0,1.0,0
20052,3,21,0,20,0,-1.0,1
20053,4,24,1,15,0,1.0,0
20054,A,18,0,20,0,1.0,0
20055,9,17,0,13,0,-1.0,1
20056,A,22,1,20,0,1.0,0
20057,Q,25,1,20,0,1.0,0
20058,3,20,0,14,0,-1.0,1
20059,K,17,0,14,0,-1.0,1
20060,J,20,0,17,0,-1.0,1
20061,9,20,0,21,0,1.0,0
20062,2,20,0,21,0,1.0,0
20063,8,26,1,16,0,1.0,0
20064,8,18,0,19,0,1.0,0
20065,A,23,1,20,0,1.0,0
20066,K,20,0,9,1,-1.0,0
20067,A,20,0,15,0,-1.0,1
20068,9,19,0,12,0,-1.0,1
20069,Q,26,1,19,0,1.0,0
20070,9,19,0,10,1,0.0,1
20071,5,19,0,13,0,-1.0,1
20072,A,21,0,13,0,-1.0,1
20073,K,18,0,11,0,-1.0,1
20074,4,17,0,14,0,-1.0,1
20075,Q,19,0,14,0,-1.0,1
20076,5,24,1,19,0,1.0,0
20077,7,17,0,12,0,-1.0,1
20078,6,23,1,11,1,1.0,1
20079,3,21,0,17,0,-1.0,1
20080,J,20,0,20,0,0.0,0
20081,3,26,1,15,0,1.0,0
20082,Q,20,0,17,0,-1.0,1
20083,Q,21,0,15,0,-1.0,1
20084,5,21,0,12,0,-1.0,1
20085,2,21,0,15,0,-1.0,1
20086,A,24,1,12,0,1.0,0
20087,7,20,0,15,0,-1.0,1
20088,2,17,0,14,0,-1.0,1
20089,2,24,1,20,0,1.0,0
20090,3,24,1,16,0,1.0,0
20091,10,19,0,20,0,1.0,0
20092,3,26,1,13,0,1.0,0
20093,9,19,0,13,0,-1.0,1
20094,Q,17,0,13,0,-1.0,1
20095,5,24,1,15,0,1.0,0
20096,K,19,0,21,0,1.0,0
20097,9,19,0,12,0,-1.0,1
20098,6,19,0,13,0,-1.0,1
20099,8,18,0,15,0,-1.0,1
20100,K,17,0,18,0,1.0,0
20101,4,25,1,5,1,1.0,1
20102,6,19,0,20,0,1.0,0
20103,2,17,0,11,0,-1.0,1
20104,A,21,0,21,0,0.0,0
20105,K,20,0,9,0,-1.0,1
20106,J,20,0,16,0,-1.0,1
20107,5,25,1,16,0,1.0,0
20108,2,20,0,20,0,0.0,0
20109,A,19,0,16,0,-1.0,1
20110,6,18,0,20,0,1.0,0
20111,2,19,0,17,0,-1.0,1
20112,3,19,0,10,1,0.0,1
20113,K,21,0,4,1,-1.0,0
20114,Q,20,0,8,1,-1.0,0
20115,2,21,0,20,0,-1.0,1
20116,3,24,1,7,0,1.0,0
20117,2,18,0,14,0,-1.0,1
20118,9,19,0,19,0,0.0,0
20119,K,20,0,14,0,-1.0,1
20120,7,17,0,10,1,1.0,1
20121,Q,18,0,16,0,-1.0,1
20122,5,25,1,18,0,1.0,0
20123,4,19,0,16,0,-1.0,1
20124,3,20,0,15,0,-1.0,1
20125,J,20,0,19,0,-1.0,1
20126,6,19,0,14,0,-1.0,1
20127,9,17,0,7,1,0.0,1
20128,6,17,0,18,0,1.0,0
20129,9,20,0,13,0,-1.0,1
20130,7,17,0,13,0,-1.0,1
20131,A,21,0,14,0,-1.0,1
20132,K,20,0,20,0,0.0,0
20133,9,21,0,18,0,-1.0,1
20134,2,19,0,17,0,-1.0,1
20135,9,17,0,15,0,-1.0,1
20136,A,21,0,15,0,-1.0,1
20137,10,20,0,20,0,0.0,0
20138,2,22,1,18,0,1.0,0
20139,A,21,0,19,0,-1.0,1
20140,10,22,1,11,0,1.0,0
20141,5,20,0,15,0,-1.0,1
20142,4,18,0,20,0,1.0,0
20143,5,20,0,18,0,-1.0,1
20144,A,18,0,20,0,1.0,0
20145,9,19,0,17,0,-1.0,1
20146,A,20,0,16,0,-1.0,1
20147,4,20,0,13,0,-1.0,1
20148,4,19,0,11,0,-1.0,1
20149,10,19,0,7,1,-1.0,0
20150,2,23,1,18,0,1.0,0
20151,2,17,0,13,0,-1.0,1
20152,10,20,0,12,0,-1.0,1
20153,5,24,1,12,0,1.0,0
20154,Q,21,0,20,0,-1.0,1
20155,K,20,0,12,0,-1.0,1
20156,Q,20,0,19,0,-1.0,1
20157,7,18,0,12,0,-1.0,1
20158,A,21,0,18,0,-1.0,1
20159,9,17,0,6,1,-1.0,0
20160,2,17,0,18,0,1.0,0
20161,6,25,1,13,0,1.0,0
20162,7,22,1,10,1,1.0,1
20163,Q,20,0,21,0,1.0,0
20164,3,17,0,19,0,1.0,0
20165,A,21,0,20,0,-1.0,1
20166,A,19,0,14,0,-1.0,1
20167,3,19,0,12,0,-1.0,1
20168,5,20,0,17,0,-1.0,1
20169,8,19,0,15,0,-1.0,1
20170,J,21,0,14,0,-1.0,1
20171,Q,17,0,4,1,1.0,1
20172,9,17,0,17,0,0.0,0
20173,7,23,1,15,0,1.0,0
20174,5,17,0,17,0,0.0,0
20175,6,25,1,18,0,1.0,0
20176,2,22,1,13,0,1.0,0
20177,6,25,1,19,0,1.0,0
20178,A,21,0,14,0,-1.0,1
20179,4,22,1,14,0,1.0,0
20180,A,21,0,16,0,-1.0,1
20181,6,21,0,20,0,-1.0,1
20182,K,21,0,21,0,0.0,0
20183,5,21,0,13,0,-1.0,1
20184,J,20,0,5,0,-1.0,1
20185,2,17,0,15,0,-1.0,1
20186,4,19,0,14,0,-1.0,1
20187,2,17,0,18,0,1.0,0
20188,J,21,0,14,0,-1.0,1
20189,8,24,1,16,0,1.0,0
20190,9,25,1,20,0,1.0,0
20191,6,26,1,13,0,1.0,0
20192,10,22,1,17,0,1.0,0
20193,5,24,1,18,0,1.0,0
20194,10,26,1,20,0,1.0,0
20195,5,23,1,16,0,1.0,0
20196,4,17,0,11,0,-1.0,1
20197,4,20,0,6,0,-1.0,1
20198,4,22,1,16,0,1.0,0
20199,Q,17,0,12,0,-1.0,1
20200,7,21,0,18,0,-1.0,1
20201,K,21,0,5,0,-1.0,1
20202,4,22,1,20,0,1.0,0
20203,10,23,1,17,0,1.0,0
20204,Q,17,0,21,0,1.0,0
20205,Q,22,1,13,0,1.0,0
20206,2,23,1,11,0,1.0,0
20207,3,20,0,12,0,-1.0,1
20208,5,19,0,21,0,1.0,0
20209,6,20,0,20,0,0.0,0
20210,2,25,1,18,0,1.0,0
20211,7,18,0,9,0,-1.0,1
20212,9,24,1,7,1,1.0,1
20213,J,21,0,15,0,-1.0,1
20214,7,20,0,15,0,-1.0,1
20215,4,23,1,8,0,1.0,0
20216,2,23,1,13,0,1.0,0
20217,3,22,1,15,0,1.0,0
20218,A,19,0,14,0,-1.0,1
20219,2,17,0,15,0,-1.0,1
20220,7,18,0,20,0,1.0,0
20221,6,17,0,18,0,1.0,0
20222,A,19,0,15,0,-1.0,1
20223,4,19,0,17,0,-1.0,1
20224,5,18,0,12,0,-1.0,1
20225,3,18,0,8,0,-1.0,1
20226,9,23,1,10,0,1.0,0
20227,10,23,1,20,0,1.0,0
20228,9,18,0,17,0,-1.0,1
20229,2,17,0,17,0,0.0,0
20230,4,23,1,17,0,1.0,0
20231,A,20,0,21,0,1.0,0
20232,7,17,0,10,1,1.0,1
20233,6,18,0,20,0,1.0,0
20234,6,20,0,21,0,1.0,0
20235,7,17,0,17,0,0.0,0
20236,6,26,1,15,0,1.0,0
20237,3,26,1,16,0,1.0,0
20238,3,19,0,12,0,-1.0,1
20239,3,21,0,14,0,-1.0,1
20240,4,23,1,5,1,1.0,1
20241,5,17,0,15,0,-1.0,1
20242,2,17,0,13,0,-1.0,1
20243,3,22,1,20,0,1.0,0
20244,10,18,0,9,1,-1.0,0
20245,Q,20,0,18,0,-1.0,1
20246,2,19,0,19,0,0.0,0
20247,7,21,0,6,1,-1.0,0
20248,6,23,1,17,0,1.0,0
20249,5,18,0,12,0,-1.0,1
20250,3,18,0,12,0,-1.0,1
20251,5,21,0,16,0,-1.0,1
20252,6,21,0,13,0,-1.0,1
20253,A,21,0,17,0,-1.0,1
20254,4,22,1,13,0,1.0,0
20255,2,26,1,21,0,1.0,0
20256,J,24,1,13,0,1.0,0
20257,J,19,0,12,0,-1.0,1
20258,7,17,0,13,0,-1.0,1
20259,9,19,0,13,0,-1.0,1
20260,Q,20,0,12,0,-1.0,1
20261,6,26,1,15,0,1.0,0
20262,8,25,1,14,0,1.0,0
20263,5,25,1,16,0,1.0,0
20264,9,19,0,5,1,0.0,1
20265,4,18,0,8,1,0.0,1
20266,3,20,0,13,0,-1.0,1
20267,2,22,1,16,0,1.0,0
20268,5,19,0,5,1,-1.0,0
20269,J,20,0,21,0,1.0,0
20270,J,20,0,12,0,-1.0,1
20271,7,17,0,15,0,-1.0,1
20272,3,18,0,16,0,-1.0,1
20273,5,25,1,5,0,1.0,0
20274,J,17,0,21,0,1.0,0
20275,8,18,0,21,0,1.0,0
20276,3,23,1,16,0,1.0,0
20277,K,20,0,11,1,1.0,1
20278,3,17,0,8,0,-1.0,1
20279,J,21,0,20,0,-1.0,1
20280,Q,18,0,10,0,-1.0,1
20281,10,20,0,10,0,-1.0,1
20282,J,17,0,16,0,-1.0,1
20283,6,18,0,18,0,0.0,0
20284,J,20,0,17,0,-1.0,1
20285,K,18,0,18,0,0.0,0
20286,J,18,0,12,0,-1.0,1
20287,4,18,0,18,0,0.0,0
20288,K,17,0,13,0,-1.0,1
20289,6,18,0,13,0,-1.0,1
20290,Q,18,0,14,0,-1.0,1
20291,J,17,0,16,0,-1.0,1
20292,5,20,0,8,0,-1.0,1
20293,A,17,0,13,0,-1.0,1
20294,Q,20,0,20,0,0.0,0
20295,10,26,1,14,0,1.0,0
20296,6,24,1,17,0,1.0,0
20297,7,25,1,8,0,1.0,0
20298,8,17,0,12,0,-1.0,1
20299,5,23,1,20,0,1.0,0
20300,7,17,0,15,0,-1.0,1
20301,6,24,1,15,0,1.0,0
20302,3,20,0,8,0,-1.0,1
20303,4,22,1,14,0,1.0,0
20304,2,19,0,19,0,0.0,0
20305,4,18,0,21,0,1.0,0
20306,10,19,0,17,0,-1.0,1
20307,9,20,0,14,0,-1.0,1
20308,J,20,0,10,0,-1.0,1
20309,5,22,1,10,1,1.0,1
20310,2,22,1,12,0,1.0,0
20311,A,17,0,15,0,-1.0,1
20312,Q,20,0,14,0,-1.0,1
20313,Q,24,1,11,1,1.0,1
20314,5,20,0,9,1,-1.0,0
20315,4,21,0,15,0,-1.0,1
20316,7,19,0,19,0,0.0,0
20317,A,21,0,7,0,-1.0,1
20318,8,19,0,10,1,-1.0,0
20319,6,23,1,14,0,1.0,0
20320,6,23,1,14,0,1.0,0
20321,Q,19,0,14,0,-1.0,1
20322,2,22,1,7,0,1.0,0
20323,9,19,0,17,0,-1.0,1
20324,4,20,0,21,0,1.0,0
20325,10,18,0,20,0,1.0,0
20326,J,25,1,11,0,1.0,0
20327,4,21,0,20,0,-1.0,1
20328,A,25,1,12,0,1.0,0
20329,6,22,1,13,0,1.0,0
20330,Q,18,0,10,0,-1.0,1
